CRIMETYPE,BEGDATE,X,Y,time,difftime
OTH,1/1/09 0:00,6447154.5,1845465.2,39814,0.062417773
OTH,1/1/09 0:00,6426769.1,1840856.6,39814,0.06266067
OTH,1/1/09 0:00,6470644.5,1827028.5,39814,0.063945486
OTH,1/1/09 0:00,6458017.3,1836268.8,39814,0.069229851
BURG,1/1/09 0:00,6498586.6,1865787.2,39814,0.071376411
BTFV,1/1/09 0:00,6397639.9,1895094.8,39814,0.071465558
OTH,1/1/09 0:00,6467088.2,1860051.1,39814,0.071467543
OTH,1/1/09 0:00,6386434.4,1898059.3,39814,0.071777201
VAND,1/1/09 0:00,6490661.5,1805083.9,39814,0.072868092
OTH,1/1/09 0:00,6420754.9,1879436.3,39814,0.072971045
OTH,1/1/09 0:00,6422513.9,1930267.8,39814,0.073093588
OTH,1/1/09 0:00,6444083.6,1884108.5,39814,0.074528678
OTH,1/1/09 0:00,6487858.7,1865304,39814,0.074685784
BURG,1/1/09 0:00,6416590.5,1879802.6,39814,0.074900719
OTH,1/1/09 0:00,6486165,1823948.1,39814,0.075024818
OTH,1/1/09 0:00,6478085.1,1814220.6,39814,0.076257819
THEFT,1/1/09 0:00,6435392.4,1820396.8,39814,0.076544017
OTH,1/1/09 0:00,6449515.5,1874222.5,39814,0.078795196
BURG,1/1/09 0:00,6444515.9,1803314.9,39814,0.07936641
OTH,1/1/09 0:00,6483306.7,1864610,39814,0.080677808
THEFT,1/1/09 0:00,6428944.9,1907524.1,39814,0.081944169
OTH,1/1/09 0:00,6422417.424,1896889.696,39814,0.08346397
OTH,1/1/09 0:00,6469568.1,1819776.5,39814,0.083541123
THEFT,1/1/09 0:00,6410630,1927455.3,39814,0.083954735
OTH,1/1/09 0:00,6472330.766,1854124.865,39814,0.084140245
AGG,1/1/09 0:00,6497213.094,1846663.652,39814,0.086247319
OTH,1/1/09 0:00,6471380.2,1847315,39814,0.086823004
THEFT,1/1/09 0:00,6454563,1827373.8,39814,0.08830884
BTFV,1/1/09 0:00,6394232.5,1918337.2,39814,0.088439549
VAND,1/1/09 0:00,6438835.7,1894890.7,39814,0.093958129
OTH,1/1/09 0:00,6477990.4,1827151.4,39814,0.094454662
BTFV,1/1/09 0:00,6477802.8,1823931.8,39814,0.094818993
OTH,1/1/09 0:00,6451157.7,1858442.1,39814,0.094921077
OTH,1/1/09 0:00,6424847.5,1933241.6,39814,0.095493001
AGG,1/1/09 0:00,6472959.233,1852597.075,39814,0.095590088
THEFT,1/1/09 0:00,6447644.82,1853404.053,39814,0.096169736
OTH,1/1/09 0:00,6476193.3,1845272.2,39814,0.096174138
OTH,1/1/09 0:00,6485966.7,1821614.1,39814,0.096177341
OTH,1/1/09 0:00,6464699.6,1829729.7,39814,0.096333713
THEFT,1/1/09 0:00,6428254.6,1889545,39814,0.096388831
OTH,1/1/09 0:00,6475738.8,1802005.4,39814,0.096872716
OTH,1/1/09 0:00,6464549.9,1859588.1,39814,0.09790867
OTH,1/1/09 0:00,6425354.4,1880976.8,39814,0.099445992
OTH,1/1/09 0:00,6462214.4,1831031.6,39814,0.100481371
AGG,1/1/09 0:00,6424878.8,1908306.1,39814,0.101156519
VAND,1/1/09 0:00,6490824,1796895.75,39814,0.101985889
THEFT,1/1/09 0:00,6403056.3,1882556.5,39814,0.103008685
OTH,1/1/09 0:00,6468674.811,1859196.225,39814,0.103681896
OTH,1/1/09 0:00,6438200.8,1891117.4,39814,0.105475553
OTH,1/1/09 0:00,6467198.4,1838779.3,39814,0.106934928
OTH,1/1/09 0:00,6479310.7,1819783.5,39814,0.108040755
OTH,1/1/09 0:00,6471776.69,1840255.474,39814,0.108791651
THEFT,1/1/09 0:00,6451325.5,1872304.2,39814,0.1089333
OTH,1/1/09 0:00,6459944.4,1860422,39814,0.109161918
AGG,1/1/09 0:00,6471916.1,1727489.7,39814,0.109751884
OTH,1/1/09 0:00,6442578.4,1882669.6,39814,0.113132568
OTH,1/1/09 0:00,6494627.4,1857654.6,39814,0.113981877
OTH,1/1/09 0:00,6430986.4,1894599.1,39814,0.114621747
THEFT,1/1/09 0:00,6476784.62,1727386.25,39814,0.114883981
THEFT,1/1/09 0:00,6436169,1892959,39814,0.115406658
THEFT,1/1/09 0:00,6420349.9,1916809.9,39814,0.116402453
OTH,1/1/09 0:00,6439684,1892957.4,39814,0.116483826
OTH,1/1/09 0:00,6470239.5,1810907.2,39814,0.116870563
OTH,1/1/09 0:00,6452163.7,1851262.2,39814,0.119081702
THEFT,1/1/09 0:00,6476170.7,1840089.4,39814,0.119936032
OTH,1/1/09 0:00,6476863.822,1846029.13,39814,0.120840377
OTH,1/1/09 0:00,6475957.5,1826124.516,39814,0.121457627
OTH,1/1/09 0:00,6447982.6,1887853.8,39814,0.122205091
OTH,1/1/09 0:00,6473648.7,1850114.3,39814,0.124102395
GTP,1/1/09 0:00,6437851.004,1887929.504,39814,0.124372197
OTH,1/1/09 0:00,6472156.6,1845943.9,39814,0.124698781
OTH,1/1/09 0:00,6464761.471,1858242.329,39814,0.125885141
OTH,1/1/09 0:00,6481049.4,1823002.3,39814,0.126683986
OTH,1/1/09 0:00,6461011.2,1861705.6,39814,0.127181699
OTH,1/1/09 0:00,6500371.2,1839971.7,39814,0.127634712
AGG,1/1/09 0:00,6482580.499,1805680.247,39814,0.12865294
OTH,1/1/09 0:00,6465570.5,1814361.9,39814,0.129082538
OTH,1/1/09 0:00,6479512.918,1817399.384,39814,0.12985112
